date,stars
2015-01-31,3.936967000370782
2015-02-28,3.932597556168703
2015-03-31,3.9236977256052823
2015-04-30,3.9628561125135233
2015-05-31,3.933676754668384
2015-06-30,3.9506306306306307
2015-07-31,3.9221014492753623
2015-08-31,3.9525363393651736
2015-09-30,3.938676381299332
2015-10-31,3.9632731958762886
2015-11-30,3.985231247570929
2015-12-31,3.9128531635495425
2016-01-31,3.9962180901355184
2016-02-29,4.002361673414305
2016-03-31,4.029576076240552
2016-04-30,3.9847764034253093
2016-05-31,4.013973799126638
2016-06-30,4.023861171366594
2016-07-31,4.000518000518
2016-08-31,4.008665511265165
2016-09-30,4.044259140474663
2016-10-31,4.024021962937543
2016-11-30,4.03
2016-12-31,3.991489361702128
2017-01-31,4.06464250734574
2017-02-28,4.0288135593220336
2017-03-31,3.998725302740599
2017-04-30,4.041473317865429
2017-05-31,4.030286190608503
2017-06-30,3.9586541203307672
2017-07-31,4.016737446914814
2017-08-31,4.002853881278539
2017-09-30,3.9431687715269805
2017-10-31,4.069546568627451
2017-11-30,4.0297800338409475
2017-12-31,4.05893536121673
2018-01-31,4.081102676787855
2018-02-28,4.062702702702703
2018-03-31,4.065282892534316
2018-04-30,4.082238720731011
2018-05-31,4.063247863247863
2018-06-30,4.020740740740741
2018-07-31,4.010951569724994
2018-08-31,4.017787078210829
2018-09-30,4.032427695004382
2018-10-31,4.067901234567901
2018-11-30,4.062922868741542
2018-12-31,3.982722143864598
